participant_id,event,reaction_time_ms,isi_delay,timestamp
a,true_press,335,1818,1742813337.5099561
a,true_press,317,2964,1742813340.792639
a,false_press,3395,1742813343.511662
a,true_press,413,3395,1742813344.60815
a,true_press,342,1930,1742813346.8883898
a,true_press,314,2525,1742813349.729846
a,true_press,293,3758,1742813353.787274
a,false_press,3013,1742813356.274909
a,true_press,67,3013,1742813356.8713868
a,true_press,322,4007,1742813361.206892
a,true_press,450,4917,1742813366.5842838
a,true_press,382,1234,1742813368.2068439
a,true_press,449,2540,1742813371.2032452
a,true_press,334,4069,1742813375.607521
a,true_press,326,2406,1742813378.339856
a,true_press,343,2548,1742813381.2362502
a,false_press,4185,1742813384.773195
a,true_press,282,4185,1742813385.7055612
a,true_press,334,2388,1742813388.436325
a,true_press,324,4445,1742813393.2060401
